LabID,CRA,Error
AA-32031,5830,55
AA-32032,6165,55
AA-38421,4602,45
AA-38544,5806,64
AA-38546,6352,57
AA-38547,5616,84
AA-42171,6480,45
AA-52543,6220,45
AA-52544,6395,60
AA-52545,6230,45
AA-52546,5830,45
AA-64365,6030,56
AA-64369,6389,58
AA-66861,5514,48
AA-66862,5682,47
AA-69754,6069,48
AA-69755,6010,69
AA-81814,5702,51
AA-81815,5709,45
AA-81816,5603,67
AA-83493,3912,39
AA-83494,4288,47
AA-83497,3686,41
AA-83498,2776,54
AA-83499,3663,41
ANU-2813,4715,160
ANU-2813,5130,90
Beta-228619,3840,40
Beta-228620,3610,40
Beta-278911,4360,40
Beta-278912,4370,40
Beta-278913,4860,40
Beta-27950,5920,60
Beta-281682,5790,40
Beta-281683,5690,40
Beta-291688,4290,40
Beta-301240,2930,40
Beta-301241,3000,30
Beta-301242,2960,30
Beta-301243,2930,30
Beta-301244,2990,30
Beta-301246,2940,30
Beta-324905,3380,30
Beta-324911,3040,30
Beta-324914,2850,30
Beta-324916,2850,30
Beta-324917,2800,30
Beta-324918,2750,30
Beta-334296,3100,30
Beta-334297,3630,30
Beta-334298,4330,30
Beta-334300,3040,30
Beta-347968,4620,30
Beta-383159,3420,30
Beta-402747,3040,30
Beta-402748,2980,30
Beta-402749,3070,30
Beta-402750,2910,30
Beta-402751,2930,30
Beta-402752,2950,30
Beta-409911,2930,30
Beta-409912,2860,30
Beta-413923,3210,30
Beta-413924,2690,30
Beta-413925,2690,30
Beta-413926,3330,30
Beta-413927,3440,30
Beta-417105,2720,30
Beta-430296,3230,30
Beta-430299,3280,30
Beta-435679,2900,30
Beta-435680,3350,30
Beta-435681,3330,30
Beta-435682,3310,30
Beta-435683,3610,30
Beta-436095,2870,30
Beta-436096,2830,30
Beta-447588,2720,30
Beta-447589,2740,30
Beta-447590,2750,30
Beta-462757,3420,30
Beta-462758,3360,30
Beta-462759,3490,30
Beta-462760,3390,30
Beta-462761,3550,30
Beta-462762,3260,30
Beta-462763,3450,30
Beta-462764,3500,30
Beta-7823,5270,90
Beta-90836,6290,70
Bln-2735,5010,80
Bln-2736,4650,50
Bln-2737,4740,60
Bln-2738,4860,60
Bln-2739,3550,60
Bln-3140,4760,100
Bln-3141,5030,60
Bln-3143,4880,60
Bln-3144,4900,50
Bln-3145,4750,60
Bln-3146,4800,60
Bln-3147,4920,60
Bln-3148,4990,50
Bln-3149,5480,60
Bln-3150,4750,60
Bln-3150A,4850,60
Bln-3151,4760,60
Bln-3152,4900,60
Bln-3153,4730,60
Bln-3153A,4770,60
Bln-3154,4870,60
Bln-3155,4910,50
Bln-3156,4920,60
Bln-3157,4840,60
Bln-3168,4840,60
Bln-3393/I,5190,60
Bln-3393/II,5200,50
Bln-3394/I,5090,60
Bln-3394/II,5200,50
Bln-3396,6080,60
Bln-3398,5070,50
Bln-3399,5130,60
Bln-3400,5090,60
Bln-3401,4940,60
Bln-3402,4900,60
Bln-3403,4820,60
Bln-3404,4990,50
Bln-3405,5110,60
Bln-3406,5050,50
Bln-3407,4860,50
Bln-3632/I,6240,70
Bln-3632/II,6310,60
Bln-3633/I,6140,60
Bln-3633/II,6279,60
Bln-3634/I,6130,60
Bln-3634/II,6250,60
Bln-3635/I,6230,70
Bln-3635/II,6140,70
Bln-3636/I,5750,60
Bln-3636/II,5890,60
Bln-3637/I,6420,80
Bln-3638/I,6360,60
Bln-3638/II,6290,60
Bln-3639/I,6340,60
Bln-3639/II,6240,60
Bln-3640/I,5830,80
Bln-3640/II,5930,80
Bln-3641/I,5980,60
Bln-3641/II,5950,60
Bln-4315,5970,80
Bln-4316,5750,60
Bln-4630,2820,60
Bln-4631,2845,40
Bln-4632,2910,40
Bln-4633,3030,50
Bln-4727,2775,45
Bln-4728,2885,35
Bln-4729,2775,40
Bln-4730,2840,40
Bln-4731,2695,40
Bln-4878,2620,40
Bln-4879,2635,35
Bln-4881,2565,35
Bln-4882,2620,35
Bln-4883,2765,40
Bln-4884,2730,35
Bln-4885,2835,40
Bln-4886,2840,30
Bln-4887,2875,35
Bln-4888,2965,35
Bln-4889,2785,40
Bln-4890,2815,40
Bln-4891,2760,35
Bln-4892,2840,35
Bln-4893,2835,30
Bln-4894,2965,35
Bln-4895,2885,40
Bln-4896,2975,40
Bln-4994,2660,35
Bln-5093,2905,35
Bln-5148,3010,35
Bln-5149,3305,35
Bln-5150,3005,30
Bln-5151,3290,35
Bln-5152,3330,35
Bln-5153,3245,30
Bln-5154,3405,35
Bln-5155,3455,40
Bln-5156,3550,35
Gif-6769,5330,70
GX-24614,4590,90
GX-2819,5365,255
GX-2822,4510,190
Hv-11629,5660,165
Hv-12966,3525,65
Hv-13197,4560,90
Hv-13198,4835,70
Hv-14970,6445,100
Hv-14971,6275,100
Lyon-4268,4090,30
Lyon-4269,6310,40
Lyon-4270,4630,30
Lyon-4944,5335,35
Lyon-4946,5445,40
Lyon-4947,4115,30
MNHN-19021,5125,45
OS-16933,5870,45
OS-16935,6080,55
OS-16943,5750,45
OS-16950,6070,40
OS-16958,4610,45
OS-18691,4800,60
OxA-13876,2733,30
OxA-13877,2592,28
OxA-13893,2502,27
OxA-13900,2512,27
OxA-14021,4765,33
OxA-15455,2521,29
OxA-15457,2826,29
OxA-15458,2545,28
OxA-15459,2599,29
OxA-2629,3580,80
OxA-2931,5160,90
OxA-30204,6222,34
OxA-30205,6142,34
OZV-447,2710,35
OZV-449,2960,80
OZV-450,2740,40
OZV-451,2810,40
OZV-454,2970,30
OZV-455,2915,35
OZV-456,3240,40
OZV-457,3370,35
OZV-968,2890,20
OZV-969,2910,20
OZV-971,2870,20
OZV-972,2720,20
OZV-973,3445,20
P-2673,4030,70
P-2738,4170,220
P-2739,5140,200
P-2740,4320,200
P-2741,4030,50
PLD-29457,3813,23
PLD-37608,3736,20
PLD-37609,3722,19
PLD-37610,3760,19
PLD-37611,3602,19
PLD-37612,3783,19
PLD-37665,3760,22
PLD-38124,3822,24
PLD-38125,3326,22
R-1945a,2600,50
R-1946a,2840,70
R-1947a,2980,65
R-1948a,2750,75
R-1949a,2570,60
R-667,5090,200
SacA-32918,5475,30
SacA-32919,5600,30
SacA-32920,5520,30
SacA-32924,5835,35
SacA-32925,5970,60
SacA-32926,5790,50
SacA-32927,5880,30
SacA-32930,5760,45
SacA-32932,6000,35
SacA-32933,5915,35
SacA-32939,5980,35
SacA-32940,6005,35
SacA-32941,6175,35
SacA-32955,6220,30
SacA-32956,6065,35
SacA-32957,6165,35
SacA-32958,6425,35
SacA-33993,5975,30
SUERC-1812,5630,50
UGAMS-36030,6270,25
UGAMS-44678,4520,25
UGAMS-44684,4780,25
UGAMS-44685,5520,25
UGAMS-46482,5560,20
UGAMS-46483,5580,25
UGAMS-46485,5430,20
UGAMS-46486,4850,20
UGAMS-51029,5310,20
UGMS-51069,3920,20
UGMS-51070,3880,20
UGMS-51072,4050,20
UGMS-51076,3990,20
Wk-43210,6156,29
Wk-43212,6242,23
Wk-43223,4596,21
Wk-44943,4738,20
Wk-44947,6248,20
Wk-44948,6122,20
Wk-44951,6218,23
Wk-44952,6230,20
Wk-44957,6278,20
Wk-44958,6255,20
Wk-45124,4730,15
Wk-45126,6246,22
Wk-45128,5465,20
Wk-45129,6053,20
NoLabID1,5520,75
NoLabID2,5930,300
NoLabID3,6250,90
AAR-18002,3459,40
AAR-12611,3470,50
WK11612,2562,43
WK11612,2562,43
WK 9572,2568,58
AAR-16619,3494,26
HV 13641,2725,145
Beta 91468,2670,60
Beta 91467,2670,60
Beta 91469,2610,60
Ly 3076,3110,170
Ly 3783,2970,150
Ly 3782,2610,90
Ly 3078,2860,150
AAR-16616,3509,27
Ly 3077,2730,150
Ly 3781,2660,120
Ly 3075,2740,100
Ly 3780,2580,110
Bln 2747,2730,50
Kn 3499,2770,160
AAR-16617,3548,30
Mon.script.sab. 74,2500,20
Mon.script.sab. 83,2521,19
AAR-16618,3577,28
Mon.script.sab. 103,2508,28
Mon.script.sab. 181,2506,21
AAR-18014,3422,26
SacA44356,6110,30
AAR-18016,3424,30
SacA44357,5735,30
SacA44355,4555,30
SacA44370,5645,30
SacA44358,5545,30
SacA44367,5385,30
SacA44378,4310,35
SacA44368,3960,30
AAR-20015,3459,27
SacA44369,3235,30
AAR-18015,3479,29
AAR-20014,3525,26
AAR-18003,3664,29
AAR-18012,3600,28
BM 2928,3610,40
AAR-20535,3616,29
AA84596,3968,46
AA84590,2768,39
AA84591,2811,40
AA85670,2790,46
AA84589,2837,40
AA84593,3487,41
AA84594,3471,40
AA84595,3610,57
AA84597,3740,96
AA84598,4326,56
AAR-20534,3666,27
MAMS26401,2552,25
MAMS26402,2659,24
MAMS20863,2732,20
MAMS20862,2803,20
MAMS20861,2894,20
MAMS27413,3399,26
MAMS27412,3408,26
MAMS20864,3580,26
AAR-10319,3497,42
MAMS27410,3880,26
Hd-28956,5094,82
MAMS20866,5195,33
MAMS15107,5420,28
MAMS15105,6153,28
NUTA2â€27847,5620,35
AAR-20670,3633,25
NUTA2â€27838,4340,40
NUTA2â€27839,4265,35
NUTA2â€27840,4200,30
NUTA2â€27841,4155,30
NUTA2â€27842,4245,35
NUTA2â€27843,4055,30
NUTA2â€27848,4085,30
NUTA2â€27827,3415,35
NUTA2â€27828,3310,35
NUTA2â€27829,3335,35
AAR-14554,3467,24
NUTA2â€27830,3295,35
NUTA2â€27831,3345,35
NUTA2â€27832,3290,35
NUTA2â€27833,3335,35
NUTA2â€27834,3430,35
NUTA2â€27835,3362,30
NUTA2â€27836,3580,30
NUTA2â€27837,3560,30
AAR-16609,3474,35
MC-2259,3520,90
MC-2260,3430,90
MC-2261,3710,90
MC-2262,3690,90
MC-2263,3950,90
MC-2264,3840,100
AAR-14553,3498,22
MC-2265,3900,100
MC-2266,4400,100
MC-2267,4400,100
SM-1236,3603,213
SM-1237,3715,217
SM-1238,3603,213
SM-1239,3940,213
K-5574,3685,60
K-5575,3750,65
K-5576,3720,85
AAR-16608,3521,26
K-5577,3745,75
K-5578,3730,85
K-5579,3270,75
K-5580,3470,80
K-5581,3830,85
K-5582,4020,85
K-5583,3370,80
OZA-918U,3480,70
OZA-920U,3450,70
OZA-921U,3440,60
AAR-16607,3546,25
OZA-923U,3750,60
OZA-924U,3760,100
OZA-929U,3830,90
OZA-930U,3730,60
OZA-936U,3760,60
Bln-3689,3450,70
AAR-18005,3665,29
AAR-19996,2672,24
BLN-2747,2730,50
KN-3499,2770,160
Beta-116117,2680,50
OZB805,2943,182
OZB807,2885,144
Beta-116112,2560,60
AAR-19995,2707,26
Wk-9243,2650,40
Wk-9244,2530,50
Wk-9506,2863,68
Wk-9572,2568,58
Hd-18743,2804,53
Hd-18790,2764,32
Hd-18789,2864,34
Hd-18742,2787,35
Hd-18765,2807,39
PA-1926,2760,40
AAR-19997,2713,25
Ly-8939,2640,40
AAR-19998,2725,25
AAR-19999,2752,25
GX-31771,2940,70
14Fi0922,2520,30
GX-31547,3110,60
GX-31550,3130,80
14Fi0901,3020,40
14Fi0899,3058,42
GX-33107,3040,90
14Fi2228,3295,45
AAR-20003,3286,35
14Fi1526,3025,35
14Fi2229,2930,45
14Fi0904,2935,40
GX-31773,2900,50
GX-33106,2870,130
GX-33108,2940,100
14Fi0919,2950,45
GX-31548,2910,50
14Fi0909,3540,55
14Fi0907,2990,47
AAR-17999,3304,28
14Fi1555,2910,70
GX-31546,2760,70
14Fi2230,2950,50
GX-31549,3030,50
GX-1770,3060,70
14Fi2251,2869,100
AAR-20000,3343,26
AAR-20002,3398,35
AAR-10317,3666,39
AAR-16611,3448,35
AAR-10318,3746,41
AAR-18001,3602,27
AAR-18000,3622,26
AR-12218,3749,35
K 5387,3630,60
AAR-20004,3482,25
AAR-20005,3527,26
AAR-14552 ,3566,25
AAR-18008,3584,28
AAR-20013,3458,28
GU55748,5074,23
GdA-1158,3410,30
GdA-1157,4040,30
GU56833,2898,29
GU56834,3911,29
GU56832,6001,29
GU55754,4128,32
GU55755,2824,31
GU55756,2532,28
GU56835,3919,29
GU56836,3551,29
GU55757,2544,31
GU56837,2986,29
DeA42268,3436,35
DeA42277,3799,59
DeA42269,3729,36
DeA42270,3774,91
DeA43982,3706,33
DeA42271,3771,37
DeA43983,3668,29
DeA43984,3367,29
AA60245,4471,42
AA59569,4475,36
AA60251,5637,44
AA60250,5783,44
AA60249,5923,44
AA60246,6168,51
AA60248,6232,45
AA83498,2776,54
AA90838,3067,39
OS16724,3190,30
AA83499,3663,41
AA83497,3686,41
AA83493,3912,39
AA83494,4288,47
AA79763,4294,38
Beta208493,4400,70
AA60245,4471,42
AA59569,4475,36
Beta208492,4520,40
AA61078,4545,45
OS16958,4610,45
AA59756,4633,40
AA59757,4721,56
OS18691,4800,60
AA60239,5081,70
AA60240,5161,43
AA60243,5182,58
AA38384,5280,52
AA38385,5288,52
Beta208494,5320,50
AA59763,5329,42
AA59761,5402,42
AA38380,5485,64
AA66861,5514,48
AA60241,5545,43
AA81816,5603,67
AA38547,5616,84
AA60251,5637,44
AA66862,5682,47
AA81814,5702,51
AA81815,5709,45
OS16934,5750,45
AA61077,5765,45
AA60250,5783,44
Beta208495,5800,50
AA38544,5806,64
AA59760,5842,43
OS16933,5870,45
OS16689,5880,55
AA60249,5923,44
AA60244,5953,45
AA59762,5970,72
Beta208491,5970,50
AA69755,6010,69
AA69754,6069,48
OS16950,6070,40
OS16935,6080,55
AA59571,6097,39
AA60246,6168,51
AA60248,6232,45
AA38381,6246,58
AA38546,6352,57
AA59764,6387,61
 SM1113,3196,156
Pozâ€53976,3315,35
Poz-53975,2680,30
Poz-64519,2945,35
Poz-64517,2520,35
KNâ€4061,3350,70
NoLabID4,3150,40
AAâ€35535,3415,50
Bln-3689,3450,70
HD 5737â€5294,3460,60
Poz-61958,5290,60
Lyon-11641,5290,35
Poz-61959,5060,60
Hv 14214,3490,90
MAMS 22875,6117,26
UCIAMS173933,5755,20
UCIAMS173934,5690,20
P 13304,3531,40
P 13305,3537,35
UCIAMS171125,3425,15
UCIAMS171126,3420,15
Beta 260664,3850,40
Beta 260663,3900,40
Beta 260660,3820,40
Beta 260661,4330,40
Beta 260662,4070,40
K-5470,4200,60
Beta 244213,4260,40
Beta 260667,4190,40
Beta 260665,4140,40
Beta 277516,4390,40
Beta 277517,4300,40
Beta 316675,4080,30
Beta 316679,4190,30
Beta 316680,4210,40
Beta 316677,4130,30
K-2795,3510,55
K-2796,3260,55
K-2797,3980,80
K-3207,3860,115
K-3208,3900,85
MAMS 23201,3892,25
MAMS 23202,3892,27
MAMS 23203,3926,24
MAMS 23204,3926,24
MAMS23205,4025,25
UGAMS 24909,3840,25
UGAMS 24910,3850,25
UGAMS 24911,3910,25
UGAMS 24912,3880,25
D-AMS 6425,5919,27
D-AMS 6423,4424,25
D-AMS 6427,4093,24
D-AMS 6424,3916,29
Beta 316664,3904,40
D-AMS 6426,3904,26
D-AMS 6421,3421,31
UGAMS47180,6220,25
UGAMS56672,6120,25
UGAMS51028,6360,20
UGAMS51027,6390,20
UGAMS56677,6410,25
UGAMS53883,5420,25
UGAMS56680,5470,25
UGAMS56671,5520,30
UGAMS56665,5530,25
UGAMS53882,5620,30
UGAMS53885,5680,25
UGAMS56675,5950,25
UGAMS56666,5990,25
UGAMS51025,6480,20
UGAMS58745,6230,25
UGAMS58742,5530,25
UGAMS58751,5700,25
UGAMS58739,5980,25
UGAMS58730,6030,30
UGAMS58740,6130,25
UGAMS51038,6220,20
UGAMS58737,6310,30
UGAMS58738,6320,25
UGAMS51040,6470,20
UGAMS51042,6350,20
UGAMS51046,5370,20
UGAMS51043,5650,20
UGAMS51044,5660,20
UGAMS56679,5660,25
UGAMS53892,5690,30
UGAMS51045,5750,20
UGAMS51047,6280,20
UGAMS56669,6310,25
UGAMS56668,6360,25
UGAMS56673,6390,25
UBA-42198,4482,27
UBA-42198,4453,28
